% 1. Titulo: Deteccion de defectos en piezas metalicas 
%
% 2. Fuentes:
%       (a) Creador: Alan Blanco Alamo
%       (b) Creador: Victor Barbero Garcia
@relation deteccionDefectos 
@attribute coordenadasX INTEGER
@attribute coordenadasY INTEGER
@attribute mean INTEGER
@attribute standardDeviation INTEGER
@attribute firstDerivative INTEGER
@attribute secondDerivative INTEGER
@attribute LBP(1) INTEGER
@attribute LBP(2) INTEGER
@attribute LBP(3) INTEGER
@attribute LBP(4) INTEGER
@attribute LBP(5) INTEGER
@attribute LBP(6) INTEGER
@attribute LBP(7) INTEGER
@attribute LBP(8) INTEGER
@attribute LBP(9) INTEGER
@attribute LBP(10) INTEGER
@attribute LBP(11) INTEGER
@attribute LBP(12) INTEGER
@attribute LBP(13) INTEGER
@attribute LBP(14) INTEGER
@attribute LBP(15) INTEGER
@attribute LBP(16) INTEGER
@attribute LBP(17) INTEGER
@attribute LBP(18) INTEGER
@attribute LBP(19) INTEGER
@attribute LBP(20) INTEGER
@attribute LBP(21) INTEGER
@attribute LBP(22) INTEGER
@attribute LBP(23) INTEGER
@attribute LBP(24) INTEGER
@attribute LBP(25) INTEGER
@attribute LBP(26) INTEGER
@attribute LBP(27) INTEGER
@attribute LBP(28) INTEGER
@attribute LBP(29) INTEGER
@attribute LBP(30) INTEGER
@attribute LBP(31) INTEGER
@attribute LBP(32) INTEGER
@attribute LBP(33) INTEGER
@attribute LBP(34) INTEGER
@attribute LBP(35) INTEGER
@attribute LBP(36) INTEGER
@attribute LBP(37) INTEGER
@attribute LBP(38) INTEGER
@attribute LBP(39) INTEGER
@attribute LBP(40) INTEGER
@attribute LBP(41) INTEGER
@attribute LBP(42) INTEGER
@attribute LBP(43) INTEGER
@attribute LBP(44) INTEGER
@attribute LBP(45) INTEGER
@attribute LBP(46) INTEGER
@attribute LBP(47) INTEGER
@attribute LBP(48) INTEGER
@attribute LBP(49) INTEGER
@attribute LBP(50) INTEGER
@attribute LBP(51) INTEGER
@attribute LBP(52) INTEGER
@attribute LBP(53) INTEGER
@attribute LBP(54) INTEGER
@attribute LBP(55) INTEGER
@attribute LBP(56) INTEGER
@attribute LBP(57) INTEGER
@attribute LBP(58) INTEGER
@attribute LBP(59) INTEGER
@ATTRIBUTE class {true, false}
@data
40, 4, 115.96875, 3.167060693687445, 3.984375, 1.40625, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 7.0, false
40, 36, 110.0625, 9.001518969040726, 0.0, 2.234375, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 3.0, 2.0, 0.0, 0.0, 0.0, 7.0, 5.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, false
46, 36, 103.8125, 3.358175658002422, 3.984375, 1.65625, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 3.0, false
46, 4, 124.203125, 4.5592614790528305, 3.984375, 1.984375, 0.0, 0.0, 1.0, 0.0, 5.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 11.0, false
52, 4, 134.09375, 4.474646459498225, 3.984375, 1.203125, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 1.0, 2.0, 6.0, 0.0, 0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 6.0, false
52, 36, 111.5, 5.220153254455275, 3.984375, 1.625, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 17.0, false
58, 4, 141.71875, 1.8068338156842205, 3.984375, 1.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 13.0, false
58, 36, 121.46875, 5.408236629207343, 3.984375, 1.640625, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 13.0, false
4, 42, 181.609375, 3.180100172852264, 3.984375, 1.484375, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 5.0, false
10, 42, 164.21875, 20.633307985815073, 3.984375, 3.21875, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 21.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4.0, false
